round,sliding_window,primal_dual
1,0.6000000000000001,0.8
2,1.8000000000000003,1.4000000000000001
3,3.0,1.8000000000000003
4,3.0,2.0000000000000004
5,3.4,2.4000000000000004
6,4.0,2.4000000000000004
7,4.2,2.4000000000000004
8,5.0,3.2
9,5.8,4.4
10,7.0,4.6000000000000005
11,7.8,4.800000000000001
12,7.8,5.200000000000001
13,8.0,5.600000000000001
14,8.8,6.600000000000001
15,9.200000000000001,7.400000000000001
16,10.200000000000001,7.600000000000001
17,10.600000000000001,7.600000000000001
18,11.000000000000002,7.800000000000002
19,11.400000000000002,7.800000000000002
20,12.000000000000002,7.800000000000002
21,12.200000000000001,7.800000000000002
22,12.8,8.8
23,14.200000000000001,10.200000000000001
24,15.200000000000001,10.600000000000001
25,16.400000000000002,11.400000000000002
26,16.8,11.600000000000001
27,17.8,11.8
28,18.400000000000002,12.200000000000001
29,19.000000000000004,12.600000000000001
30,19.600000000000005,13.600000000000001
31,20.400000000000006,13.8
32,20.800000000000004,13.8
33,21.600000000000005,14.4
34,22.000000000000004,14.8
