round,sliding_window,primal_dual
1,0.4,0.6
2,1.2000000000000002,1.2000000000000002
3,1.8000000000000003,2.0
4,2.6000000000000005,2.6
5,3.2000000000000006,2.8000000000000003
6,3.400000000000001,3.4000000000000004
7,4.000000000000001,4.0
8,4.200000000000001,4.0
9,4.800000000000001,4.4
10,6.4,5.2
11,6.800000000000001,5.800000000000001
12,6.800000000000001,6.200000000000001
13,7.000000000000001,7.400000000000001
14,7.400000000000001,8.000000000000002
15,7.600000000000001,8.400000000000002
16,8.400000000000002,8.800000000000002
17,9.000000000000002,9.400000000000002
18,10.000000000000002,10.000000000000002
19,10.400000000000002,10.400000000000002
20,10.600000000000001,10.400000000000002
21,11.600000000000001,10.800000000000002
22,12.400000000000002,11.200000000000003
23,13.600000000000001,12.200000000000003
24,14.8,13.400000000000002
25,15.200000000000001,13.400000000000002
26,16.0,13.600000000000001
27,16.8,14.200000000000001
28,17.6,14.4
29,18.0,14.8
30,19.0,15.8
31,20.0,16.2
32,20.6,16.8
33,21.200000000000003,17.2
34,21.400000000000002,17.4
35,22.000000000000004,18.0
