round,oracle_reward,oracle_cumulative,ucb1_reward,ucb1_cumulative,ucb1_price,ucb1_regret,ucb1_cumulative_regret
86,0.5,20.0,0.1,20.299999999999997,0.1,0.4,-0.29999999999999927
87,0.5,20.5,0.0,20.299999999999997,0.6,0.5,0.20000000000000073
88,0.5,21.0,0.8,21.099999999999998,0.8,-0.30000000000000004,-0.09999999999999931
89,0.0,21.0,0.0,21.099999999999998,0.8,0.0,-0.09999999999999931
90,0.0,21.0,0.2,21.299999999999997,0.2,-0.2,-0.2999999999999993
91,0.5,21.5,0.4,21.699999999999996,0.4,0.09999999999999998,-0.19999999999999934
92,0.5,22.0,0.0,21.699999999999996,0.7,0.5,0.30000000000000066
93,0.5,22.5,0.3,21.999999999999996,0.3,0.2,0.5000000000000007
94,0.5,23.0,0.0,21.999999999999996,0.9,0.5,1.0000000000000007
95,0.0,23.0,0.0,21.999999999999996,1.0,0.0,1.0000000000000007
96,0.5,23.5,0.0,21.999999999999996,0.4,0.5,1.5000000000000007
97,0.0,23.5,0.0,21.999999999999996,0.5,0.0,1.5000000000000007
98,0.0,23.5,0.6,22.599999999999998,0.6,-0.6,0.9000000000000007
99,0.0,23.5,0.1,22.7,0.1,-0.1,0.8000000000000007
100,0.0,23.5,0.0,22.7,0.2,0.0,0.8000000000000007
101,0.5,24.0,0.6,23.3,0.6,-0.09999999999999998,0.7000000000000007
102,0.0,24.0,0.8,24.1,0.8,-0.8,-0.09999999999999931
103,0.5,24.5,0.8,24.900000000000002,0.8,-0.30000000000000004,-0.39999999999999936
104,0.5,25.0,0.8,25.700000000000003,0.8,-0.30000000000000004,-0.6999999999999994
105,0.0,25.0,0.0,25.700000000000003,0.8,0.0,-0.6999999999999994
106,0.0,25.0,0.3,26.000000000000004,0.3,-0.3,-0.9999999999999993
107,0.5,25.5,0.6,26.600000000000005,0.6,-0.09999999999999998,-1.0999999999999992
108,0.0,25.5,0.6,27.200000000000006,0.6,-0.6,-1.6999999999999993
109,0.0,25.5,0.0,27.200000000000006,0.9,0.0,-1.6999999999999993
110,0.0,25.5,0.6,27.800000000000008,0.6,-0.6,-2.2999999999999994
111,0.0,25.5,0.0,27.800000000000008,0.7,0.0,-2.2999999999999994
112,0.5,26.0,0.0,27.800000000000008,0.3,0.5,-1.7999999999999994
113,0.5,26.5,0.4,28.200000000000006,0.4,0.09999999999999998,-1.6999999999999993
114,0.5,27.0,0.5,28.700000000000006,0.5,0.0,-1.6999999999999993
115,0.5,27.5,0.0,28.700000000000006,0.6,0.5,-1.1999999999999993
116,0.5,28.0,0.0,28.700000000000006,0.8,0.5,-0.6999999999999993
117,0.0,28.0,0.0,28.700000000000006,1.0,0.0,-0.6999999999999993
118,0.5,28.5,0.1,28.800000000000008,0.1,0.4,-0.29999999999999927
