round,sliding_window,primal_dual
1,0.4,0.2
2,0.8,0.2
3,0.8,0.8
4,0.8,1.0
5,1.4000000000000001,1.6
6,2.0,2.2
7,2.6,2.6
8,3.4000000000000004,4.2
9,4.0,4.4
10,4.2,4.6000000000000005
11,4.800000000000001,4.6000000000000005
12,5.200000000000001,5.2
13,5.800000000000001,6.2
14,6.6000000000000005,6.4
15,7.000000000000001,7.0
16,7.000000000000001,7.4
17,7.800000000000001,8.200000000000001
18,8.0,8.200000000000001
19,8.0,8.4
20,8.8,9.4
21,9.200000000000001,10.200000000000001
22,10.000000000000002,10.8
23,10.400000000000002,11.4
24,10.800000000000002,11.8
25,11.200000000000003,12.200000000000001
26,12.400000000000002,12.8
27,13.000000000000002,12.8
28,14.000000000000002,13.600000000000001
29,14.200000000000001,14.000000000000002
30,14.600000000000001,14.000000000000002
31,15.400000000000002,14.400000000000002
32,16.000000000000004,14.400000000000002
33,16.000000000000004,14.600000000000001
34,16.200000000000003,16.0
35,17.400000000000002,16.4
36,18.200000000000003,17.2
37,18.6,17.4
38,19.400000000000002,18.0
39,20.400000000000002,18.8
40,20.8,18.8
