round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,optimal_reward,optimal_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
69,0.0,0.0,17.9,13.2,0.5,16.0,0.3,1.0,True,True,0.0
70,0.2,0.0,18.099999999999998,13.2,0.5,16.5,0.2,0.8,True,True,0.0
71,0.0,0.3,18.099999999999998,13.5,0.0,16.5,0.4,0.3,True,True,0.0
72,0.0,0.1,18.099999999999998,13.6,0.0,16.5,0.5,0.1,True,True,0.0
73,0.0,0.8,18.099999999999998,14.4,0.5,17.0,0.1,0.8,True,True,0.0
74,0.6,0.7,18.7,15.1,0.5,17.5,0.6,0.7,True,True,0.0
75,0.0,0.7,18.7,15.799999999999999,0.5,18.0,0.9,0.7,True,True,0.0
76,0.0,0.0,18.7,15.799999999999999,0.5,18.5,0.6,0.8,True,True,0.0
77,0.0,0.2,18.7,15.999999999999998,0.0,18.5,0.8,0.2,True,True,0.0
78,0.0,0.4,18.7,16.4,0.0,18.5,0.7,0.4,True,True,0.0
79,0.0,0.2,18.7,16.599999999999998,0.0,18.5,1.0,0.2,True,True,0.0
80,0.2,0.0,18.9,16.599999999999998,0.5,19.0,0.2,0.8,True,True,0.0
81,0.0,0.0,18.9,16.599999999999998,0.5,19.5,0.3,0.6,True,True,0.0
82,0.0,0.4,18.9,16.999999999999996,0.0,19.5,0.5,0.4,True,True,0.0
83,0.4,0.1,19.299999999999997,17.099999999999998,0.0,19.5,0.4,0.1,True,True,0.0
84,0.9,0.4,20.199999999999996,17.499999999999996,0.0,19.5,0.9,0.4,True,True,0.0
85,0.0,0.4,20.199999999999996,17.899999999999995,0.0,19.5,0.9,0.4,True,True,0.0
86,0.1,0.0,20.299999999999997,17.899999999999995,0.5,20.0,0.1,0.7,True,True,0.0
87,0.0,0.6,20.299999999999997,18.499999999999996,0.5,20.5,0.6,0.6,True,True,0.0
88,0.8,0.0,21.099999999999998,18.499999999999996,0.5,21.0,0.8,0.9,True,True,0.0
89,0.0,0.0,21.099999999999998,18.499999999999996,0.0,21.0,0.8,0.5,True,True,0.0
90,0.2,0.2,21.299999999999997,18.699999999999996,0.0,21.0,0.2,0.2,True,True,0.0
91,0.4,0.7,21.699999999999996,19.399999999999995,0.5,21.5,0.4,0.7,True,True,0.0
92,0.0,0.0,21.699999999999996,19.399999999999995,0.5,22.0,0.7,0.7,True,True,0.0
93,0.3,0.0,21.999999999999996,19.399999999999995,0.5,22.5,0.3,0.6,True,True,0.0
94,0.0,0.0,21.999999999999996,19.399999999999995,0.5,23.0,0.9,0.7,True,True,0.0
95,0.0,0.5,21.999999999999996,19.899999999999995,0.0,23.0,1.0,0.5,True,True,0.0
96,0.0,0.0,21.999999999999996,19.899999999999995,0.5,23.5,0.4,0.6,True,True,0.0
97,0.0,0.5,21.999999999999996,20.399999999999995,0.0,23.5,0.5,0.5,True,True,0.0
98,0.6,0.1,22.599999999999998,20.499999999999996,0.0,23.5,0.6,0.1,True,True,0.0
99,0.1,0.2,22.7,20.699999999999996,0.0,23.5,0.1,0.2,True,True,0.0
100,0.0,0.1,22.7,20.799999999999997,0.0,23.5,0.2,0.1,True,True,0.0
101,0.6,0.0,23.3,20.799999999999997,0.5,24.0,0.6,0.6,True,True,0.0
102,0.8,0.0,24.1,20.799999999999997,0.0,24.0,0.8,0.4,True,True,0.0
103,0.8,0.5,24.900000000000002,21.299999999999997,0.5,24.5,0.8,0.5,True,True,0.0
104,0.8,0.0,25.700000000000003,21.299999999999997,0.5,25.0,0.8,0.9,True,True,0.0
105,0.0,0.3,25.700000000000003,21.599999999999998,0.0,25.0,0.8,0.3,True,True,0.0
106,0.3,0.5,26.000000000000004,22.099999999999998,0.0,25.0,0.3,0.5,True,True,0.0
107,0.6,0.7,26.600000000000005,22.799999999999997,0.5,25.5,0.6,0.7,True,True,0.0
108,0.6,0.0,27.200000000000006,22.799999999999997,0.0,25.5,0.6,0.3,True,True,0.0
109,0.0,0.2,27.200000000000006,22.999999999999996,0.0,25.5,0.9,0.2,True,True,0.0
110,0.6,0.0,27.800000000000008,22.999999999999996,0.0,25.5,0.6,0.4,True,True,0.0
111,0.0,0.0,27.800000000000008,22.999999999999996,0.0,25.5,0.7,0.3,True,True,0.0
112,0.0,0.0,27.800000000000008,22.999999999999996,0.5,26.0,0.3,0.9,True,True,0.0
113,0.4,0.8,28.200000000000006,23.799999999999997,0.5,26.5,0.4,0.8,True,True,0.0
114,0.5,0.6,28.700000000000006,24.4,0.5,27.0,0.5,0.6,True,True,0.0
115,0.0,0.0,28.700000000000006,24.4,0.5,27.5,0.6,0.8,True,True,0.0
116,0.0,0.0,28.700000000000006,24.4,0.5,28.0,0.8,0.8,True,True,0.0
117,0.0,0.3,28.700000000000006,24.7,0.0,28.0,1.0,0.3,True,True,0.0
118,0.1,0.0,28.800000000000008,24.7,0.5,28.5,0.1,0.8,True,True,0.0
119,0.0,0.6,28.800000000000008,25.3,0.5,29.0,0.5,0.6,True,True,0.0
120,0.2,0.8,29.000000000000007,26.1,0.5,29.5,0.2,0.8,True,True,0.0
121,0.4,0.0,29.400000000000006,26.1,0.5,30.0,0.4,0.8,True,True,0.0
122,0.0,0.4,29.400000000000006,26.5,0.0,30.0,0.9,0.4,True,True,0.0
123,0.6,0.2,30.000000000000007,26.7,0.0,30.0,0.6,0.2,True,True,0.0
124,0.0,0.3,30.000000000000007,27.0,0.0,30.0,0.8,0.3,True,True,0.0
125,0.4,0.5,30.400000000000006,27.5,0.0,30.0,0.4,0.5,True,True,0.0
126,0.0,0.0,30.400000000000006,27.5,0.5,30.5,0.6,0.8,True,True,0.0
127,0.3,0.0,30.700000000000006,27.5,0.5,31.0,0.3,0.8,True,True,0.0
128,0.2,0.1,30.900000000000006,27.6,0.0,31.0,0.2,0.1,True,True,0.0
129,0.1,0.0,31.000000000000007,27.6,0.5,31.5,0.1,0.6,True,True,0.0
130,0.7,0.0,31.700000000000006,27.6,0.0,31.5,0.7,0.5,True,True,0.0
131,0.0,0.0,31.700000000000006,27.6,0.0,31.5,0.7,0.3,True,True,0.0
132,0.0,0.2,31.700000000000006,27.8,0.0,31.5,0.4,0.2,True,True,0.0
133,0.0,0.4,31.700000000000006,28.2,0.0,31.5,0.5,0.4,True,True,0.0
134,0.0,0.0,31.700000000000006,28.2,0.5,32.0,1.0,0.9,True,True,0.0
135,0.0,0.4,31.700000000000006,28.599999999999998,0.0,32.0,0.3,0.4,True,True,0.0
136,0.8,0.0,32.50000000000001,28.599999999999998,0.5,32.5,0.8,0.5,True,True,0.0
137,0.0,0.7,32.50000000000001,29.299999999999997,0.5,33.0,0.8,0.7,True,True,0.0
138,0.0,0.0,32.50000000000001,29.299999999999997,0.0,33.0,0.9,0.4,True,True,0.0
139,0.0,0.0,32.50000000000001,29.299999999999997,0.5,33.5,0.6,0.9,True,True,0.0
140,0.2,0.0,32.70000000000001,29.299999999999997,0.5,34.0,0.2,0.9,True,True,0.0
141,0.0,0.4,32.70000000000001,29.699999999999996,0.0,34.0,0.7,0.4,True,True,0.0
142,0.1,0.5,32.80000000000001,30.199999999999996,0.0,34.0,0.1,0.5,True,True,0.0
143,0.4,0.0,33.20000000000001,30.199999999999996,0.0,34.0,0.4,0.4,True,True,0.0
144,0.0,0.4,33.20000000000001,30.599999999999994,0.0,34.0,0.8,0.4,True,True,0.0
145,0.5,0.1,33.70000000000001,30.699999999999996,0.0,34.0,0.5,0.1,True,True,0.0
146,0.6,0.0,34.30000000000001,30.699999999999996,0.5,34.5,0.6,0.6,True,True,0.0
147,0.2,0.0,34.500000000000014,30.699999999999996,0.5,35.0,0.2,0.5,True,True,0.0
148,0.3,0.2,34.80000000000001,30.899999999999995,0.0,35.0,0.3,0.2,True,True,0.0
149,0.5,0.4,35.30000000000001,31.299999999999994,0.0,35.0,0.5,0.4,True,True,0.0
150,0.4,0.0,35.70000000000001,31.299999999999994,0.5,35.5,0.4,0.8,True,True,0.0
151,0.0,0.0,35.70000000000001,31.299999999999994,0.0,35.5,0.9,0.4,True,True,0.0
152,0.6,0.3,36.30000000000001,31.599999999999994,0.0,35.5,0.6,0.3,True,True,0.0
153,0.0,0.5,36.30000000000001,32.099999999999994,0.0,35.5,1.0,0.5,True,True,0.0
154,0.6,0.0,36.90000000000001,32.099999999999994,0.5,36.0,0.6,1.0,True,True,0.0
155,0.5,0.0,37.40000000000001,32.099999999999994,0.0,36.0,0.5,0.4,True,True,0.0
156,0.0,0.0,37.40000000000001,32.099999999999994,0.5,36.5,0.6,0.6,True,True,0.0
157,0.5,0.0,37.90000000000001,32.099999999999994,0.5,37.0,0.5,0.7,True,True,0.0
158,0.4,0.4,38.30000000000001,32.49999999999999,0.0,37.0,0.4,0.4,True,True,0.0
159,0.0,0.7,38.30000000000001,33.199999999999996,0.5,37.5,0.8,0.7,True,True,0.0
160,0.3,0.4,38.60000000000001,33.599999999999994,0.0,37.5,0.3,0.4,True,True,0.0
161,0.1,0.6,38.70000000000001,34.199999999999996,0.5,38.0,0.1,0.6,True,True,0.0
162,0.0,0.0,38.70000000000001,34.199999999999996,0.5,38.5,0.5,0.6,True,True,0.0
163,0.2,0.6,38.90000000000001,34.8,0.5,39.0,0.2,0.6,True,True,0.0
164,0.0,0.2,38.90000000000001,35.0,0.0,39.0,0.7,0.2,True,True,0.0
165,0.4,0.7,39.30000000000001,35.7,0.5,39.5,0.4,0.7,True,True,0.0
166,0.0,0.4,39.30000000000001,36.1,0.0,39.5,0.9,0.4,True,True,0.0
167,0.3,0.0,39.60000000000001,36.1,0.0,39.5,0.3,0.3,True,True,0.0
168,0.0,0.2,39.60000000000001,36.300000000000004,0.0,39.5,0.6,0.2,True,True,0.0
169,0.0,0.0,39.60000000000001,36.300000000000004,0.5,40.0,0.4,0.6,True,True,0.0
170,0.0,0.6,39.60000000000001,36.900000000000006,0.5,40.5,0.8,0.6,True,True,0.0
171,0.2,0.0,39.80000000000001,36.900000000000006,0.0,40.5,0.2,0.1,True,True,0.0
