round,sliding_window,primal_dual
1,0.4,0.6000000000000001
2,0.8,1.2000000000000002
3,0.8,1.4000000000000001
4,0.8,2.0
5,1.4000000000000001,2.2
6,2.0,2.4000000000000004
7,2.6,2.8000000000000003
8,3.4000000000000004,3.2
9,4.0,3.2
10,4.2,3.6
11,4.800000000000001,4.2
12,5.200000000000001,4.4
13,5.800000000000001,4.6000000000000005
14,6.6000000000000005,5.800000000000001
15,7.000000000000001,6.000000000000001
16,7.000000000000001,6.200000000000001
17,7.800000000000001,6.600000000000001
18,8.4,7.000000000000002
19,8.8,7.600000000000001
20,9.600000000000001,8.400000000000002
21,10.400000000000002,8.800000000000002
22,10.800000000000002,9.600000000000003
23,11.000000000000002,10.400000000000004
24,11.000000000000002,10.400000000000004
25,11.600000000000001,10.600000000000003
26,12.400000000000002,11.000000000000004
27,13.000000000000002,11.800000000000004
28,13.800000000000002,12.200000000000005
29,14.400000000000002,12.400000000000004
30,14.600000000000001,12.800000000000004
31,15.200000000000001,13.600000000000005
32,15.8,14.000000000000005
33,16.0,14.400000000000006
34,16.6,15.200000000000006
35,17.8,16.400000000000006
36,18.400000000000002,16.400000000000006
37,19.400000000000002,17.200000000000006
