round,reward,cumulative_reward,price_selected,produced,lambda_value,optimal_reward,optimal_cumulative
77,0.2,13.399999999999997,0.2,True,0.4933153149862676,0.0,18.5
78,0.0,13.399999999999997,0.5,True,0.49963987030660434,0.0,18.5
79,0.2,13.599999999999996,0.2,True,0.5059644256269411,0.0,18.5
80,0.0,13.599999999999996,0.9,True,0.5122889809472778,0.5,19.0
81,0.0,13.599999999999996,0.7,True,0.5186135362676145,0.5,19.5
82,0.0,13.599999999999996,0.5,True,0.5249380915879512,0.0,19.5
83,0.2,13.799999999999995,0.2,True,0.531262646908288,0.0,19.5
84,0.4,14.199999999999996,0.4,True,0.5375872022286247,0.0,19.5
85,0.0,14.199999999999996,0.5,True,0.5439117575489614,0.0,19.5
86,0.0,14.199999999999996,0.7,True,0.5502363128692981,0.5,20.0
87,0.0,14.199999999999996,0.7,True,0.5565608681896348,0.5,20.5
88,0.9,15.099999999999996,0.9,True,0.5628854235099715,0.5,21.0
89,0.0,15.099999999999996,0.6,True,0.5692099788303082,0.0,21.0
90,0.3,15.399999999999997,0.3,True,0.5755345341506449,0.0,21.0
91,0.0,15.399999999999997,0.7,True,0.5818590894709816,0.5,21.5
92,0.0,15.399999999999997,0.8,True,0.5881836447913183,0.5,22.0
93,0.0,15.399999999999997,0.6,True,0.5945082001116551,0.5,22.5
94,0.0,15.399999999999997,0.8,True,0.6008327554319918,0.5,23.0
95,0.0,15.399999999999997,0.6,True,0.6071573107523285,0.0,23.0
96,0.0,15.399999999999997,0.6,True,0.6134818660726652,0.5,23.5
97,0.0,15.399999999999997,0.6,True,0.6198064213930019,0.0,23.5
98,0.1,15.499999999999996,0.1,True,0.6261309767133386,0.0,23.5
99,0.3,15.799999999999997,0.3,True,0.6324555320336753,0.0,23.5
100,0.0,15.799999999999997,0.1,True,0.638780087354012,0.0,23.5
101,0.7,16.499999999999996,0.7,True,0.6451046426743487,0.5,24.0
102,0.5,16.999999999999996,0.5,True,0.6514291979946855,0.0,24.0
103,0.6,17.599999999999998,0.6,True,0.6577537533150222,0.5,24.5
104,0.9,18.499999999999996,0.9,True,0.6640783086353589,0.5,25.0
105,0.0,18.499999999999996,0.4,True,0.6704028639556956,0.0,25.0
106,0.0,18.499999999999996,0.6,True,0.6767274192760323,0.0,25.0
107,0.0,18.499999999999996,0.8,True,0.683051974596369,0.5,25.5
108,0.4,18.899999999999995,0.4,True,0.6893765299167057,0.0,25.5
109,0.0,18.899999999999995,0.2,True,0.6957010852370424,0.0,25.5
110,0.5,19.399999999999995,0.5,True,0.7020256405573791,0.0,25.5
111,0.0,19.399999999999995,0.3,True,0.7083501958777159,0.0,25.5
112,0.0,19.399999999999995,0.9,True,0.7146747511980526,0.5,26.0
113,0.0,19.399999999999995,0.9,True,0.7209993065183893,0.5,26.5
114,0.0,19.399999999999995,0.7,True,0.727323861838726,0.5,27.0
115,0.0,19.399999999999995,0.9,True,0.7336484171590627,0.5,27.5
116,0.0,19.399999999999995,0.8,True,0.7399729724793994,0.5,28.0
117,0.4,19.799999999999994,0.4,True,0.7462975277997361,0.0,28.0
118,0.0,19.799999999999994,0.9,True,0.7526220831200728,0.5,28.5
119,0.0,19.799999999999994,0.6,True,0.7589466384404095,0.5,29.0
120,0.0,19.799999999999994,0.9,True,0.7652711937607463,0.5,29.5
121,0.9,20.699999999999992,0.9,True,0.771595749081083,0.5,30.0
122,0.5,21.199999999999992,0.5,True,0.7779203044014197,0.0,30.0
123,0.3,21.499999999999993,0.3,True,0.7842448597217564,0.0,30.0
124,0.4,21.89999999999999,0.4,True,0.7905694150420931,0.0,30.0
125,0.0,21.89999999999999,0.6,True,0.7968939703624298,0.0,30.0
126,0.0,21.89999999999999,0.9,True,0.8032185256827665,0.5,30.5
127,0.0,21.89999999999999,0.9,True,0.8095430810031032,0.5,31.0
128,0.1,21.999999999999993,0.1,True,0.81586763632344,0.0,31.0
129,0.0,21.999999999999993,0.6,True,0.8221921916437767,0.5,31.5
130,0.6,22.599999999999994,0.6,True,0.8285167469641134,0.0,31.5
131,0.4,22.999999999999993,0.4,True,0.8348413022844501,0.0,31.5
132,0.0,22.999999999999993,0.3,True,0.8411658576047868,0.0,31.5
133,0.0,22.999999999999993,0.5,True,0.8474904129251235,0.0,31.5
134,0.0,22.999999999999993,1.0,True,0.8538149682454602,0.5,32.0
135,0.0,22.999999999999993,0.5,True,0.8601395235657969,0.0,32.0
136,0.6,23.599999999999994,0.6,True,0.8664640788861336,0.5,32.5
137,0.0,23.599999999999994,0.8,True,0.8727886342064703,0.5,33.0
138,0.0,23.599999999999994,0.6,True,0.8791131895268071,0.0,33.0
139,0.0,23.599999999999994,1.0,True,0.8854377448471438,0.5,33.5
140,0.0,23.599999999999994,1.0,True,0.8917623001674805,0.5,34.0
141,0.0,23.599999999999994,0.5,True,0.8980868554878172,0.0,34.0
142,0.6,24.199999999999996,0.6,True,0.9044114108081539,0.0,34.0
143,0.5,24.699999999999996,0.5,True,0.9107359661284906,0.0,34.0
144,0.0,24.699999999999996,0.5,True,0.9170605214488273,0.0,34.0
145,0.2,24.899999999999995,0.2,True,0.923385076769164,0.0,34.0
146,0.7,25.599999999999994,0.7,True,0.9297096320895007,0.5,34.5
147,0.6,26.199999999999996,0.6,True,0.9360341874098375,0.5,35.0
148,0.2,26.399999999999995,0.2,True,0.9423587427301742,0.0,35.0
149,0.5,26.899999999999995,0.5,True,0.9486832980505109,0.0,35.0
