round,sliding_window,primal_dual
1,0.6000000000000001,0.6
2,1.8000000000000003,1.0
3,3.0,1.8
4,3.0,2.0
5,3.4,2.0
6,4.0,2.4
7,4.2,2.6
8,5.0,3.6
9,5.8,4.0
10,7.0,4.8
11,7.8,5.0
12,7.8,5.6
13,8.0,6.0
14,8.8,6.4
15,9.200000000000001,7.2
16,10.200000000000001,8.0
17,10.600000000000001,8.0
18,10.600000000000001,8.2
19,11.000000000000002,8.399999999999999
20,11.400000000000002,8.599999999999998
21,11.600000000000001,8.799999999999997
22,12.200000000000001,9.399999999999997
23,12.8,10.399999999999997
24,13.0,10.599999999999996
25,13.4,11.599999999999996
26,13.6,11.799999999999995
27,14.2,12.999999999999996
28,14.799999999999999,13.799999999999997
29,15.6,14.199999999999998
30,15.6,14.799999999999997
31,16.2,14.999999999999996
32,16.2,15.399999999999997
33,16.599999999999998,15.599999999999996
34,16.999999999999996,15.799999999999995
35,17.399999999999995,16.199999999999996
36,18.399999999999995,16.999999999999996
37,18.799999999999994,17.799999999999997
38,19.599999999999994,18.199999999999996
39,20.199999999999996,18.599999999999994
40,20.799999999999997,19.199999999999996
