round,sliding_window,primal_dual
1,0.4,0.4
2,1.2000000000000002,0.8
3,1.8000000000000003,1.6
4,2.6000000000000005,3.2
5,3.2000000000000006,3.6
6,3.400000000000001,3.8000000000000003
7,4.000000000000001,3.8000000000000003
8,4.200000000000001,4.2
9,4.800000000000001,4.2
10,6.4,5.0
11,6.800000000000001,5.2
12,6.800000000000001,5.4
13,7.000000000000001,6.0
14,7.400000000000001,6.8
15,7.600000000000001,7.2
16,8.400000000000002,8.2
17,9.000000000000002,8.6
18,10.000000000000002,9.0
19,10.600000000000001,10.0
20,11.200000000000001,10.6
21,11.600000000000001,11.2
22,11.8,12.0
23,13.0,13.0
24,13.8,13.2
25,13.8,13.399999999999999
26,14.600000000000001,13.799999999999999
27,15.200000000000001,13.799999999999999
28,15.600000000000001,13.799999999999999
29,16.0,13.999999999999998
30,16.4,14.799999999999999
31,17.4,15.6
32,18.0,16.4
33,18.4,16.799999999999997
34,18.4,16.999999999999996
35,19.0,17.399999999999995
36,19.8,17.799999999999994
37,20.0,18.199999999999992
38,20.0,18.59999999999999
39,20.2,18.79999999999999
40,20.599999999999998,18.99999999999999
