round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
348,0.1,0.0,43.300000000000004,71.70000000000003,0.1,0.4,True,True,0.0
349,0.4,0.0,43.7,71.70000000000003,0.4,0.5,True,True,0.0
350,0.3,0.0,44.0,71.70000000000003,0.3,0.4,True,True,0.0
351,0.0,0.0,44.0,71.70000000000003,0.4,0.6,True,True,0.0
352,0.5,0.0,44.5,71.70000000000003,0.5,0.6,True,True,0.0
353,0.5,0.3,45.0,72.00000000000003,0.5,0.3,True,True,0.0
354,0.5,0.2,45.5,72.20000000000003,0.5,0.2,True,True,0.0
355,0.5,0.0,46.0,72.20000000000003,0.5,0.2,True,True,0.0
356,0.5,0.1,46.5,72.30000000000003,0.5,0.1,True,True,0.0
357,0.0,0.6,46.5,72.90000000000002,0.5,0.6,True,True,0.0
358,0.0,0.0,46.5,72.90000000000002,0.8,0.5,True,True,0.0
359,0.0,0.2,46.5,73.10000000000002,0.9,0.2,True,True,0.0
360,0.0,0.0,46.5,73.10000000000002,1.0,0.5,True,True,0.0
361,0.2,0.5,46.7,73.60000000000002,0.2,0.5,True,True,0.0
362,0.3,0.0,47.0,73.60000000000002,0.3,0.4,True,True,0.0
363,0.0,0.3,47.0,73.90000000000002,0.7,0.3,True,True,0.0
364,0.5,0.3,47.5,74.20000000000002,0.5,0.3,True,True,0.0
365,0.0,0.4,47.5,74.60000000000002,0.5,0.4,True,True,0.0
366,0.3,0.4,47.8,75.00000000000003,0.3,0.4,True,True,0.0
367,0.1,0.0,47.9,75.00000000000003,0.1,0.4,True,True,0.0
368,0.2,0.0,48.1,75.00000000000003,0.2,0.7,True,True,0.0
369,0.3,0.3,48.4,75.30000000000003,0.3,0.3,True,True,0.0
370,0.4,0.0,48.8,75.30000000000003,0.4,0.4,True,True,0.0
371,0.0,0.0,48.8,75.30000000000003,0.6,0.6,True,True,0.0
372,0.4,0.0,49.199999999999996,75.30000000000003,0.4,0.2,True,True,0.0
373,0.4,0.0,49.599999999999994,75.30000000000003,0.4,0.5,True,True,0.0
374,0.3,0.0,49.89999999999999,75.30000000000003,0.3,0.4,True,True,0.0
375,0.4,0.4,50.29999999999999,75.70000000000003,0.4,0.4,True,True,0.0
376,0.2,0.0,50.49999999999999,75.70000000000003,0.2,0.3,True,True,0.0
377,0.5,0.0,50.99999999999999,75.70000000000003,0.5,0.5,True,True,0.0
378,0.0,0.5,50.99999999999999,76.20000000000003,0.5,0.5,True,True,0.0
379,0.0,0.0,50.99999999999999,76.20000000000003,0.4,0.5,True,True,0.0
380,0.0,0.0,50.99999999999999,76.20000000000003,0.8,0.4,True,True,0.0
381,0.0,0.5,50.99999999999999,76.70000000000003,0.9,0.5,True,True,0.0
382,0.0,0.3,50.99999999999999,77.00000000000003,1.0,0.3,True,True,0.0
383,0.3,0.0,51.29999999999999,77.00000000000003,0.3,0.5,True,True,0.0
384,0.1,0.0,51.39999999999999,77.00000000000003,0.1,0.5,True,True,0.0
385,0.7,0.0,52.099999999999994,77.00000000000003,0.7,0.4,True,True,0.0
386,0.0,0.0,52.099999999999994,77.00000000000003,0.7,1.0,True,True,0.0
387,0.0,0.5,52.099999999999994,77.50000000000003,0.2,0.5,True,True,0.0
388,0.3,0.0,52.39999999999999,77.50000000000003,0.3,0.4,True,True,0.0
389,0.0,0.0,52.39999999999999,77.50000000000003,0.7,0.5,True,True,0.0
390,0.0,0.6,52.39999999999999,78.10000000000002,0.3,0.6,True,True,0.0
391,0.5,0.0,52.89999999999999,78.10000000000002,0.5,0.5,True,True,0.0
392,0.0,0.5,52.89999999999999,78.60000000000002,0.5,0.5,True,True,0.0
393,0.0,0.0,52.89999999999999,78.60000000000002,0.4,0.6,True,True,0.0
394,0.6,0.3,53.49999999999999,78.90000000000002,0.6,0.3,True,True,0.0
395,0.6,0.4,54.099999999999994,79.30000000000003,0.6,0.4,True,True,0.0
396,0.6,0.4,54.699999999999996,79.70000000000003,0.6,0.4,True,True,0.0
397,0.0,0.4,54.699999999999996,80.10000000000004,0.6,0.4,True,True,0.0
398,0.0,0.0,54.699999999999996,80.10000000000004,0.6,0.4,True,True,0.0
399,0.1,0.4,54.8,80.50000000000004,0.1,0.4,True,True,0.0
400,0.0,0.0,54.8,80.50000000000004,0.6,0.8,True,True,0.0
401,0.0,0.0,54.8,80.50000000000004,0.8,0.4,True,True,0.0
402,0.0,0.0,54.8,80.50000000000004,0.9,0.5,True,True,0.0
403,0.0,0.3,54.8,80.80000000000004,1.0,0.3,True,True,0.0
404,0.2,0.0,55.0,80.80000000000004,0.2,0.3,True,True,0.0
405,0.0,0.0,55.0,80.80000000000004,0.5,0.6,True,True,0.0
406,0.3,0.4,55.3,81.20000000000005,0.3,0.4,True,True,0.0
407,0.7,0.0,56.0,81.20000000000005,0.7,0.5,True,True,0.0
408,0.0,0.3,56.0,81.50000000000004,0.7,0.3,True,True,0.0
409,0.4,0.4,56.4,81.90000000000005,0.4,0.4,True,True,0.0
410,0.4,0.0,56.8,81.90000000000005,0.4,0.6,True,True,0.0
411,0.1,0.6,56.9,82.50000000000004,0.1,0.6,True,True,0.0
412,0.0,0.4,56.9,82.90000000000005,0.7,0.4,True,True,0.0
413,0.4,0.3,57.3,83.20000000000005,0.4,0.3,True,True,0.0
414,0.3,0.4,57.599999999999994,83.60000000000005,0.3,0.4,True,True,0.0
415,0.2,0.0,57.8,83.60000000000005,0.2,0.7,True,True,0.0
416,0.4,0.0,58.199999999999996,83.60000000000005,0.4,0.4,True,True,0.0
417,0.4,0.3,58.599999999999994,83.90000000000005,0.4,0.3,True,True,0.0
418,0.4,0.0,58.99999999999999,83.90000000000005,0.4,1.0,True,True,0.0
419,0.3,0.6,59.29999999999999,84.50000000000004,0.3,0.6,True,True,0.0
420,0.6,0.0,59.89999999999999,84.50000000000004,0.6,0.4,True,True,0.0
421,0.6,0.5,60.49999999999999,85.00000000000004,0.6,0.5,True,True,0.0
422,0.6,0.3,61.099999999999994,85.30000000000004,0.6,0.3,True,True,0.0
423,0.0,0.5,61.099999999999994,85.80000000000004,0.6,0.5,True,True,0.0
424,0.6,0.0,61.699999999999996,85.80000000000004,0.6,0.9,True,True,0.0
425,0.0,0.0,61.699999999999996,85.80000000000004,0.6,0.4,True,True,0.0
426,0.6,0.6,62.3,86.40000000000003,0.6,0.6,True,True,0.0
427,0.6,0.0,62.9,86.40000000000003,0.6,0.6,True,True,0.0
428,0.6,0.0,63.5,86.40000000000003,0.6,0.7,True,True,0.0
429,0.0,0.5,63.5,86.90000000000003,0.6,0.5,True,True,0.0
430,0.6,0.0,64.1,86.90000000000003,0.6,0.6,True,True,0.0
431,0.6,0.0,64.69999999999999,86.90000000000003,0.6,0.6,True,True,0.0
432,0.0,0.0,64.69999999999999,86.90000000000003,0.6,0.5,True,True,0.0
433,0.6,0.5,65.29999999999998,87.40000000000003,0.6,0.5,True,True,0.0
434,0.6,0.0,65.89999999999998,87.40000000000003,0.6,0.4,True,True,0.0
435,0.0,0.5,65.89999999999998,87.90000000000003,0.6,0.5,True,True,0.0
436,0.6,0.0,66.49999999999997,87.90000000000003,0.6,1.0,True,True,0.0
437,0.6,0.0,67.09999999999997,87.90000000000003,0.6,0.5,True,True,0.0
438,0.0,0.5,67.09999999999997,88.40000000000003,0.6,0.5,True,True,0.0
439,0.0,0.4,67.09999999999997,88.80000000000004,0.6,0.4,True,True,0.0
440,0.4,0.4,67.49999999999997,89.20000000000005,0.4,0.4,True,True,0.0
441,0.5,0.5,67.99999999999997,89.70000000000005,0.5,0.5,True,True,0.0
442,0.5,0.5,68.49999999999997,90.20000000000005,0.5,0.5,True,True,0.0
443,0.5,0.3,68.99999999999997,90.50000000000004,0.5,0.3,True,True,0.0
444,0.5,0.0,69.49999999999997,90.50000000000004,0.5,0.5,True,True,0.0
445,0.5,0.0,69.99999999999997,90.50000000000004,0.5,0.5,True,True,0.0
446,0.5,0.0,70.49999999999997,90.50000000000004,0.5,0.4,True,True,0.0
