round,sliding_window,primal_dual
1,0.4,0.2
2,0.8,0.2
3,0.8,0.6000000000000001
4,0.8,1.0
5,1.4000000000000001,1.6
6,2.0,1.8
7,2.6,2.2
8,3.4000000000000004,3.0
9,4.0,3.2
10,4.2,4.2
11,4.800000000000001,4.6000000000000005
12,5.200000000000001,5.200000000000001
13,5.800000000000001,5.800000000000001
14,6.6000000000000005,6.4
15,7.000000000000001,7.2
16,7.000000000000001,7.4
17,7.800000000000001,7.800000000000001
18,8.0,7.800000000000001
19,8.0,8.0
20,8.8,9.0
21,9.200000000000001,9.8
22,10.000000000000002,11.0
23,10.400000000000002,11.8
24,10.800000000000002,12.4
25,11.200000000000003,12.4
26,12.400000000000002,13.200000000000001
27,13.000000000000002,13.8
28,14.000000000000002,14.4
29,14.200000000000001,14.4
30,14.600000000000001,15.0
31,15.400000000000002,15.8
32,16.400000000000002,16.400000000000002
33,16.6,16.400000000000002
34,17.0,16.6
35,18.2,17.0
36,19.2,17.8
37,20.4,17.8
38,20.4,18.2
39,20.799999999999997,18.4
