round,unconstrained_reward,unconstrained_cumulative,unconstrained_price,constrained_reward,constrained_cumulative,constrained_price,constrained_produced
194,0.0,37.2,1.0,0.0,11.399999999999999,0.0,False
195,0.0,37.2,0.6,0.0,11.399999999999999,0.0,False
196,0.7,37.900000000000006,0.7,0.0,11.399999999999999,0.0,False
197,0.7,38.60000000000001,0.7,0.0,11.399999999999999,0.0,False
198,0.0,38.60000000000001,0.7,0.0,11.399999999999999,0.0,False
199,0.3,38.900000000000006,0.3,0.0,11.399999999999999,0.0,False
200,0.3,39.2,0.3,0.0,11.399999999999999,0.0,False
201,0.4,39.6,0.4,0.0,11.399999999999999,0.0,False
202,0.7,40.300000000000004,0.7,0.0,11.399999999999999,0.0,False
203,0.0,40.300000000000004,0.7,0.0,11.399999999999999,0.0,False
204,0.0,40.300000000000004,0.5,0.0,11.399999999999999,0.0,False
205,0.8,41.1,0.8,0.0,11.399999999999999,0.0,False
206,0.0,41.1,0.8,0.0,11.399999999999999,0.0,False
207,0.0,41.1,0.6,0.0,11.399999999999999,0.0,False
208,0.1,41.2,0.1,0.0,11.399999999999999,0.0,False
209,0.4,41.6,0.4,0.0,11.399999999999999,0.0,False
210,0.3,41.9,0.3,0.0,11.399999999999999,0.0,False
211,0.2,42.1,0.2,0.0,11.399999999999999,0.0,False
212,0.4,42.5,0.4,0.0,11.399999999999999,0.0,False
213,0.0,42.5,0.9,0.0,11.399999999999999,0.0,False
214,0.0,42.5,1.0,0.0,11.399999999999999,0.0,False
215,0.7,43.2,0.7,0.0,11.399999999999999,0.0,False
216,0.0,43.2,0.7,0.0,11.399999999999999,0.0,False
217,0.0,43.2,0.8,0.0,11.399999999999999,0.0,False
218,0.3,43.5,0.3,0.0,11.399999999999999,0.0,False
219,0.0,43.5,0.4,0.0,11.399999999999999,0.0,False
220,0.5,44.0,0.5,0.0,11.399999999999999,0.0,False
221,0.2,44.2,0.2,0.0,11.399999999999999,0.0,False
222,0.5,44.7,0.5,0.0,11.399999999999999,0.0,False
223,0.6,45.300000000000004,0.6,0.0,11.399999999999999,0.0,False
224,0.0,45.300000000000004,0.6,0.0,11.399999999999999,0.0,False
225,0.1,45.400000000000006,0.1,0.0,11.399999999999999,0.0,False
226,0.5,45.900000000000006,0.5,0.0,11.399999999999999,0.0,False
227,0.3,46.2,0.3,0.0,11.399999999999999,0.0,False
228,0.0,46.2,0.5,0.0,11.399999999999999,0.0,False
229,0.0,46.2,0.7,0.0,11.399999999999999,0.0,False
230,0.3,46.5,0.3,0.0,11.399999999999999,0.0,False
231,0.2,46.7,0.2,0.0,11.399999999999999,0.0,False
232,0.0,46.7,0.4,0.0,11.399999999999999,0.0,False
233,0.8,47.5,0.8,0.0,11.399999999999999,0.0,False
234,0.8,48.3,0.8,0.0,11.399999999999999,0.0,False
235,0.8,49.099999999999994,0.8,0.0,11.399999999999999,0.0,False
236,0.8,49.89999999999999,0.8,0.0,11.399999999999999,0.0,False
237,0.8,50.69999999999999,0.8,0.0,11.399999999999999,0.0,False
238,0.0,50.69999999999999,0.8,0.0,11.399999999999999,0.0,False
239,0.0,50.69999999999999,0.8,0.0,11.399999999999999,0.0,False
240,0.0,50.69999999999999,0.8,0.0,11.399999999999999,0.0,False
241,0.0,50.69999999999999,0.9,0.0,11.399999999999999,0.0,False
242,0.0,50.69999999999999,1.0,0.0,11.399999999999999,0.0,False
243,0.0,50.69999999999999,0.6,0.0,11.399999999999999,0.0,False
244,0.3,50.999999999999986,0.3,0.0,11.399999999999999,0.0,False
245,0.1,51.09999999999999,0.1,0.0,11.399999999999999,0.0,False
246,0.0,51.09999999999999,0.5,0.0,11.399999999999999,0.0,False
247,0.0,51.09999999999999,0.7,0.0,11.399999999999999,0.0,False
248,0.0,51.09999999999999,0.2,0.0,11.399999999999999,0.0,False
249,0.8,51.899999999999984,0.8,0.0,11.399999999999999,0.0,False
250,0.0,51.899999999999984,0.8,0.0,11.399999999999999,0.0,False
251,0.3,52.19999999999998,0.3,0.0,11.399999999999999,0.0,False
252,0.0,52.19999999999998,0.4,0.0,11.399999999999999,0.0,False
253,0.6,52.79999999999998,0.6,0.0,11.399999999999999,0.0,False
254,0.6,53.399999999999984,0.6,0.0,11.399999999999999,0.0,False
255,0.0,53.399999999999984,0.6,0.0,11.399999999999999,0.0,False
256,0.5,53.899999999999984,0.5,0.0,11.399999999999999,0.0,False
257,0.0,53.899999999999984,0.3,0.0,11.399999999999999,0.0,False
258,0.8,54.69999999999998,0.8,0.0,11.399999999999999,0.0,False
259,0.0,54.69999999999998,0.8,0.0,11.399999999999999,0.0,False
260,0.1,54.79999999999998,0.1,0.0,11.399999999999999,0.0,False
261,0.5,55.29999999999998,0.5,0.0,11.399999999999999,0.0,False
262,0.0,55.29999999999998,0.5,0.0,11.399999999999999,0.0,False
263,0.0,55.29999999999998,0.9,0.0,11.399999999999999,0.0,False
264,0.0,55.29999999999998,1.0,0.0,11.399999999999999,0.0,False
265,0.7,55.999999999999986,0.7,0.0,11.399999999999999,0.0,False
266,0.0,55.999999999999986,0.7,0.0,11.399999999999999,0.0,False
267,0.2,56.19999999999999,0.2,0.0,11.399999999999999,0.0,False
268,0.0,56.19999999999999,0.8,0.0,11.399999999999999,0.0,False
269,0.0,56.19999999999999,0.6,0.0,11.399999999999999,0.0,False
270,0.4,56.59999999999999,0.4,0.0,11.399999999999999,0.0,False
271,0.4,56.999999999999986,0.4,0.0,11.399999999999999,0.0,False
272,0.0,56.999999999999986,0.7,0.0,11.399999999999999,0.0,False
273,0.3,57.29999999999998,0.3,0.0,11.399999999999999,0.0,False
274,0.5,57.79999999999998,0.5,0.0,11.399999999999999,0.0,False
275,0.1,57.899999999999984,0.1,0.0,11.399999999999999,0.0,False
276,0.4,58.29999999999998,0.4,0.0,11.399999999999999,0.0,False
277,0.2,58.499999999999986,0.2,0.0,11.399999999999999,0.0,False
278,0.0,58.499999999999986,0.5,0.0,11.399999999999999,0.0,False
279,0.4,58.899999999999984,0.4,0.0,11.399999999999999,0.0,False
280,0.0,58.899999999999984,0.3,0.0,11.399999999999999,0.0,False
281,0.0,58.899999999999984,0.8,0.0,11.399999999999999,0.0,False
282,0.0,58.899999999999984,0.6,0.0,11.399999999999999,0.0,False
283,0.0,58.899999999999984,0.9,0.0,11.399999999999999,0.0,False
284,0.0,58.899999999999984,1.0,0.0,11.399999999999999,0.0,False
285,0.4,59.29999999999998,0.4,0.0,11.399999999999999,0.0,False
286,0.2,59.499999999999986,0.2,0.0,11.399999999999999,0.0,False
287,0.4,59.899999999999984,0.4,0.0,11.399999999999999,0.0,False
288,0.7,60.59999999999999,0.7,0.0,11.399999999999999,0.0,False
289,0.0,60.59999999999999,0.7,0.0,11.399999999999999,0.0,False
290,0.5,61.09999999999999,0.5,0.0,11.399999999999999,0.0,False
291,0.1,61.19999999999999,0.1,0.0,11.399999999999999,0.0,False
292,0.0,61.19999999999999,0.5,0.0,11.399999999999999,0.0,False
293,0.0,61.19999999999999,0.4,0.0,11.399999999999999,0.0,False
294,0.0,61.19999999999999,0.8,0.0,11.399999999999999,0.0,False
295,0.6,61.79999999999999,0.6,0.0,11.399999999999999,0.0,False
296,0.0,61.79999999999999,0.6,0.0,11.399999999999999,0.0,False
297,0.3,62.09999999999999,0.3,0.0,11.399999999999999,0.0,False
298,0.0,62.09999999999999,0.2,0.0,11.399999999999999,0.0,False
299,0.0,62.09999999999999,0.7,0.0,11.399999999999999,0.0,False
300,0.0,62.09999999999999,0.3,0.0,11.399999999999999,0.0,False
301,0.0,62.09999999999999,0.5,0.0,11.399999999999999,0.0,False
302,0.0,62.09999999999999,0.9,0.0,11.399999999999999,0.0,False
303,0.0,62.09999999999999,1.0,0.0,11.399999999999999,0.0,False
304,0.4,62.499999999999986,0.4,0.0,11.399999999999999,0.0,False
305,0.1,62.59999999999999,0.1,0.0,11.399999999999999,0.0,False
306,0.0,62.59999999999999,0.6,0.0,11.399999999999999,0.0,False
307,0.4,62.999999999999986,0.4,0.0,11.399999999999999,0.0,False
308,0.0,62.999999999999986,0.8,0.0,11.399999999999999,0.0,False
309,0.4,63.399999999999984,0.4,0.0,11.399999999999999,0.0,False
310,0.0,63.399999999999984,0.7,0.0,11.399999999999999,0.0,False
311,0.2,63.59999999999999,0.2,0.0,11.399999999999999,0.0,False
312,0.0,63.59999999999999,0.4,0.0,11.399999999999999,0.0,False
313,0.5,64.1,0.5,0.0,11.399999999999999,0.0,False
314,0.0,64.1,0.3,0.0,11.399999999999999,0.0,False
315,0.5,64.6,0.5,0.0,11.399999999999999,0.0,False
316,0.5,65.1,0.5,0.0,11.399999999999999,0.0,False
317,0.0,65.1,0.5,0.0,11.399999999999999,0.0,False
318,0.1,65.19999999999999,0.1,0.0,11.399999999999999,0.0,False
319,0.0,65.19999999999999,0.6,0.0,11.399999999999999,0.0,False
320,0.0,65.19999999999999,0.8,0.0,11.399999999999999,0.0,False
321,0.2,65.39999999999999,0.2,0.0,11.399999999999999,0.0,False
322,0.0,65.39999999999999,0.9,0.0,11.399999999999999,0.0,False
323,0.0,65.39999999999999,1.0,0.0,11.399999999999999,0.0,False
324,0.0,65.39999999999999,0.7,0.0,11.399999999999999,0.0,False
325,0.4,65.8,0.4,0.0,11.399999999999999,0.0,False
326,0.3,66.1,0.3,0.0,11.399999999999999,0.0,False
327,0.0,66.1,0.5,0.0,11.399999999999999,0.0,False
328,0.0,66.1,0.4,0.0,11.399999999999999,0.0,False
329,0.2,66.3,0.2,0.0,11.399999999999999,0.0,False
330,0.6,66.89999999999999,0.6,0.0,11.399999999999999,0.0,False
331,0.0,66.89999999999999,0.6,0.0,11.399999999999999,0.0,False
332,0.1,66.99999999999999,0.1,0.0,11.399999999999999,0.0,False
333,0.0,66.99999999999999,0.8,0.0,11.399999999999999,0.0,False
334,0.0,66.99999999999999,0.3,0.0,11.399999999999999,0.0,False
335,0.7,67.69999999999999,0.7,0.0,11.399999999999999,0.0,False
336,0.0,67.69999999999999,0.7,0.0,11.399999999999999,0.0,False
337,0.2,67.89999999999999,0.2,0.0,11.399999999999999,0.0,False
338,0.0,67.89999999999999,0.5,0.0,11.399999999999999,0.0,False
339,0.4,68.3,0.4,0.0,11.399999999999999,0.0,False
340,0.0,68.3,0.6,0.0,11.399999999999999,0.0,False
341,0.0,68.3,0.9,0.0,11.399999999999999,0.0,False
342,0.0,68.3,1.0,0.0,11.399999999999999,0.0,False
343,0.0,68.3,0.4,0.0,11.399999999999999,0.0,False
344,0.1,68.39999999999999,0.1,0.0,11.399999999999999,0.0,False
345,0.0,68.39999999999999,0.7,0.0,11.399999999999999,0.0,False
346,0.0,68.39999999999999,0.8,0.0,11.399999999999999,0.0,False
347,0.3,68.69999999999999,0.3,0.0,11.399999999999999,0.0,False
348,0.2,68.89999999999999,0.2,0.0,11.399999999999999,0.0,False
349,0.0,68.89999999999999,0.5,0.0,11.399999999999999,0.0,False
350,0.0,68.89999999999999,0.3,0.0,11.399999999999999,0.0,False
351,0.0,68.89999999999999,0.6,0.0,11.399999999999999,0.0,False
352,0.4,69.3,0.4,0.0,11.399999999999999,0.0,False
353,0.2,69.5,0.2,0.0,11.399999999999999,0.0,False
354,0.1,69.6,0.1,0.0,11.399999999999999,0.0,False
355,0.0,69.6,0.7,0.0,11.399999999999999,0.0,False
356,0.0,69.6,0.8,0.0,11.399999999999999,0.0,False
357,0.4,70.0,0.4,0.0,11.399999999999999,0.0,False
358,0.9,70.9,0.9,0.0,11.399999999999999,0.0,False
359,0.0,70.9,0.9,0.0,11.399999999999999,0.0,False
360,0.0,70.9,0.9,0.0,11.399999999999999,0.0,False
361,0.0,70.9,1.0,0.0,11.399999999999999,0.0,False
362,0.4,71.30000000000001,0.4,0.0,11.399999999999999,0.0,False
363,0.5,71.80000000000001,0.5,0.0,11.399999999999999,0.0,False
364,0.0,71.80000000000001,0.5,0.0,11.399999999999999,0.0,False
365,0.4,72.20000000000002,0.4,0.0,11.399999999999999,0.0,False
366,0.2,72.40000000000002,0.2,0.0,11.399999999999999,0.0,False
367,0.6,73.00000000000001,0.6,0.0,11.399999999999999,0.0,False
