round,sliding_window,primal_dual
1,0.6000000000000001,0.0
2,1.8000000000000003,1.2
3,3.0,1.7999999999999998
4,3.0,1.7999999999999998
5,3.4,1.7999999999999998
6,4.0,2.1999999999999997
7,4.2,2.4
8,5.0,3.2
9,5.8,4.0
10,7.0,5.2
11,7.8,5.4
12,7.8,5.6000000000000005
13,8.0,6.000000000000001
14,8.8,6.600000000000001
15,9.200000000000001,7.000000000000002
16,10.200000000000001,7.600000000000001
17,10.600000000000001,7.600000000000001
18,10.600000000000001,7.600000000000001
19,11.000000000000002,8.200000000000001
20,11.400000000000002,8.8
21,11.600000000000001,8.8
22,12.200000000000001,9.600000000000001
23,12.8,10.400000000000002
24,13.0,10.800000000000002
25,13.4,11.600000000000003
26,13.6,12.000000000000004
27,14.2,12.200000000000003
28,14.799999999999999,12.800000000000002
29,15.6,13.000000000000002
30,15.6,13.600000000000001
31,16.2,14.400000000000002
32,16.2,14.800000000000002
33,16.2,15.200000000000003
34,16.8,15.400000000000002
35,17.2,15.600000000000001
36,18.0,16.6
37,18.6,17.6
38,19.0,18.200000000000003
39,19.8,18.6
40,20.8,19.0
